x,t,u
1.11,0.04,0.382295
1.12,0.04,0.389468
1.13,0.04,0.396707
1.14,0.04,0.404013
1.15,0.04,0.411386
1.16,0.04,0.418825
1.17,0.04,0.426331
1.18,0.04,0.433904
1.19,0.04,0.441543
1.2,0.04,0.449249
1.21,0.04,0.457022
1.22,0.04,0.464861
1.23,0.04,0.472767
1.24,0.04,0.48074
1.25,0.04,0.488779
1.26,0.04,0.496885
1.27,0.04,0.505058
1.28,0.04,0.513297
1.29,0.04,0.521603
1.3,0.04,0.529976
1.31,0.04,0.538415
1.32,0.04,0.546921
1.33,0.04,0.555494
1.34,0.04,0.564133
1.35,0.04,0.572839
1.36,0.04,0.581612
1.37,0.04,0.590451
1.38,0.04,0.599357
1.39,0.04,0.60833
1.4,0.04,0.617369
1.41,0.04,0.626475
1.42,0.04,0.635648
1.43,0.04,0.644887
1.44,0.04,0.654193
1.45,0.04,0.663566
1.46,0.04,0.673005
1.47,0.04,0.682511
1.48,0.04,0.692084
1.49,0.04,0.701723
1.5,0.04,0.711429
1.51,0.04,0.721202
1.52,0.04,0.731041
1.53,0.04,0.740947
1.54,0.04,0.75092
1.55,0.04,0.760959
1.56,0.04,0.771065
1.57,0.04,0.781238
1.58,0.04,0.791477
1.59,0.04,0.801783
1.6,0.04,0.812156
1.61,0.04,0.822595
1.62,0.04,0.833101
1.63,0.04,0.843674
1.64,0.04,0.854313
1.65,0.04,0.865019
1.66,0.04,0.875792
1.67,0.04,0.886631
1.68,0.04,0.897537
1.69,0.04,0.90851
1.7,0.04,0.919549
1.71,0.04,0.930655
1.72,0.04,0.941828
1.73,0.04,0.953067
1.74,0.04,0.964373
1.75,0.04,0.975746
1.76,0.04,0.987185
1.77,0.04,0.998691
1.78,0.04,1.01026
1.79,0.04,1.0219
1.8,0.04,1.03361
1.81,0.04,1.04538
1.82,0.04,1.05722
1.83,0.04,1.06913
1.84,0.04,1.0811
1.85,0.04,1.09314
1.86,0.04,1.10525
1.87,0.04,1.11742
1.88,0.04,1.12966
1.89,0.04,1.14196
1.9,0.04,1.15434
1.91,0.04,1.16678
1.92,0.04,1.17928
1.93,0.04,1.19185
1.94,0.04,1.20449
1.95,0.04,1.2172
1.96,0.04,1.22997
1.97,0.04,1.24281
1.98,0.04,1.25572
1.99,0.04,1.26869
0,0.05,0
0.01,0.05,4e-06
0.02,0.05,1.1e-05
0.03,0.05,2e-05
0.04,0.05,3e-05
0.05,0.05,4e-05
0.06,0.05,8.33333e-05
0.07,0.05,0.000193333
0.08,0.05,0.00037
0.09,0.05,0.000613333
0.1,0.05,0.000923333
0.11,0.05,0.0013
0.12,0.05,0.00174333
0.13,0.05,0.00225333
0.14,0.05,0.00283
0.15,0.05,0.00347333
0.16,0.05,0.00418333
0.17,0.05,0.00496
0.18,0.05,0.00580333
0.19,0.05,0.00671333
0.2,0.05,0.00769
0.21,0.05,0.00873333
0.22,0.05,0.00984333
0.23,0.05,0.01102
0.24,0.05,0.0122633
0.25,0.05,0.0135733
0.26,0.05,0.01495
0.27,0.05,0.0163933
0.28,0.05,0.0179033
0.29,0.05,0.01948
0.3,0.05,0.0211233
0.31,0.05,0.0228333
0.32,0.05,0.02461
0.33,0.05,0.0264533
0.34,0.05,0.0283633
0.35,0.05,0.03034
0.36,0.05,0.0323833
0.37,0.05,0.0344933
0.38,0.05,0.03667
0.39,0.05,0.0389133
0.4,0.05,0.0412233
0.41,0.05,0.0436
0.42,0.05,0.0460433
0.43,0.05,0.0485533
0.44,0.05,0.05113
0.45,0.05,0.0537733
0.46,0.05,0.0564833
0.47,0.05,0.05926
0.48,0.05,0.0621033
0.49,0.05,0.0650133
0.5,0.05,0.06799
0.51,0.05,0.0710333
0.52,0.05,0.0741433
0.53,0.05,0.07732
0.54,0.05,0.0805633
0.55,0.05,0.0838733
0.56,0.05,0.08725
0.57,0.05,0.0906933
0.58,0.05,0.0942033
0.59,0.05,0.09778
0.6,0.05,0.101423
0.61,0.05,0.105133
0.62,0.05,0.10891
0.63,0.05,0.112753
0.64,0.05,0.116663
0.65,0.05,0.12064
0.66,0.05,0.124683
0.67,0.05,0.128793
0.68,0.05,0.13297
0.69,0.05,0.137213
0.7,0.05,0.141523
0.71,0.05,0.1459
0.72,0.05,0.150343
0.73,0.05,0.154853
0.74,0.05,0.15943
0.75,0.05,0.164073
0.76,0.05,0.168783
0.77,0.05,0.17356
0.78,0.05,0.178403
0.79,0.05,0.183313
0.8,0.05,0.18829
0.81,0.05,0.193333
0.82,0.05,0.198443
0.83,0.05,0.20362
0.84,0.05,0.208863
0.85,0.05,0.214173
0.86,0.05,0.21955
0.87,0.05,0.224993
0.88,0.05,0.230503
0.89,0.05,0.23608
0.9,0.05,0.241723
